filename,sign,x,y
82f47ef4-d53d-4f41-b399-7e7dc20471b9-nosign.png,0,0,0
82f65062-cead-4792-9749-9f5c7722686f-nosign.png,0,0,0
82f7fb93-c0f4-42e3-8192-c95a1ed06c0f-nosign.png,0,0,0
8329cf75-80da-4b2a-8d95-861d1024095b-sign.png,1,0.462730586,0.020052893
83899456-6a0e-402c-8fc1-57aec77d4fd1-sign.png,1,0.582021057,0.97484225
839063b3-d6b9-460b-a01e-27f7361bf3ce-nosign.png,0,0,0
83ad431f-7113-460f-910f-c356ebb5b6ac-nosign.png,0,0,0
83f2ee90-fc48-4808-906d-243dcaf727c6-sign.png,1,0.802267313,0.980503977
84c4000c-4d82-4048-957e-bd7e77435674-nosign.png,0,0,0
8515f1e5-3dd3-453f-9b4b-b463274a4f0b-sign.png,1,0.884934246,0.88027066
8604596a-3f8a-458c-9e24-011b7ff1b885-sign.png,1,0.513883055,0.973144293
8609205d-becd-4ba1-9f62-5dccf1a5be6e-sign.png,1,0.470225244,0.846980096
8630ccfc-3d2b-4bac-8ade-f7e9f09c3bec-sign.png,1,0.613723994,0.976291418
8643e991-9b75-4b9e-8011-518444313554-nosign.png,0,0,0
867662a2-5fd0-4f72-b6a7-961fb10870ae-sign.png,1,0.549887418,0.966486813
867e38ce-57d4-4a47-a942-5b49c7c944a0-nosign.png,0,0,0
86918c52-ce59-4949-b802-fd600d4d7edb-sign.png,1,0.495039016,0.021812432
86ca6627-0d5d-48d6-bd41-8e0e96105917-sign.png,1,0.265027375,0.946679057
86dc4041-eb87-40fd-a063-55933bc5697b-sign.png,1,0.39737466,0.029996539
86e44fc1-7deb-453a-a738-8efca903da25-sign.png,1,0.300647139,0.977755605
86efde5c-b804-402c-b8b0-92ea99d693df-sign.png,1,0.040325689,0.96412468
86fc83ee-a38e-436f-b63c-6474dbbeba1e-nosign.png,0,0,0
87665c51-2599-44f1-80c8-f0e5155bb564-sign.png,1,0.647904039,0.958170354
87c0f4f1-939c-44b8-bf8b-fed41a436aa5-sign.png,1,0.483915656,0.828069926
87c821b6-b86d-4a34-ae35-78cb4d953862-nosign.png,0,0,0
883ec40f-2b91-4c0d-b8ff-ab1cd7554657-sign.png,1,0.455663443,0.971634924
886fedba-045b-48f7-9030-c03d8d07f9da-sign.png,1,0.359713822,0.047781906
88cbeca4-f337-4d4a-abaf-e00a9178ee63-nosign.png,0,0,0
88fa5a97-a218-447a-bb10-f698eada16e1-sign.png,1,0.877850414,0.82731998
89365a35-b508-4c61-a0d1-ef836af093fa-nosign.png,0,0,0
8937f636-3c53-4c7d-a434-b19fdab0b6a7-nosign.png,0,0,0
89648db2-7d3a-4d11-bc39-11bbc92eed29-sign.png,1,0.972333908,0.84767133
89693187-06cb-4252-abb2-b4b2472a7b09-sign.png,1,0.295123666,0.836796641
89c932f4-f97d-40e4-909e-0109afdd7c5e-sign.png,1,0.5476439,0.909486652
89e26311-e67f-4ec9-8e2f-e1ec9f5b2d74-sign.png,1,0.344197779,0.023584104
8a11f9b0-6321-48d7-97bc-cb613206b002-nosign.png,0,0,0
8a16c3f7-9b16-4a5a-8a47-dd9a75758195-nosign.png,0,0,0
8a4d3419-30b4-4d30-ac80-344de83e1aaa-nosign.png,0,0,0
8a5462c3-e120-4332-a546-7c07f65180a1-sign.png,1,0.868248641,0.796066164
8a7550d9-d107-4116-ba3b-672b65896062-sign.png,1,0.581829965,0.96248573
